"date","out.ch","out_incl_losses.ch","in.ch"
"2017-08-09 01:00:00",138870218.521,163530593.103,231680691.22
"2017-08-10 01:00:00",142496873.616,163499677.51,251237240.628
"2017-08-11 01:00:00",141492180.902,161534792.491,238487646.05
"2017-08-12 01:00:00",119065612.692,154172042.03,162091925.08
"2017-08-13 01:00:00",107522171.115,138693418.774,161078441.523
"2017-08-14 01:00:00",136754310.675,153052707.92,189383255.426
"2017-08-15 01:00:00",137325599.475,159381748.215,173591352.953
"2017-08-16 01:00:00",145765158.732,160129685.861,216831788.406
"2017-08-17 01:00:00",146494218.994,162815225.864,190723927.201
"2017-08-18 01:00:00",146856416.32,162550919.095,201963738.516
"2017-08-19 01:00:00",122085093.734,166008186.099,141532455.238
"2017-08-20 01:00:00",109611496.169,146871211.675,134841037.169
"2017-08-21 01:00:00",143515593.231,162030455.437,177798189.232
"2017-08-22 01:00:00",146341694.837,161430595.385,181559529.1
"2017-08-23 01:00:00",149520465.49,166409704.876,178905545.027
"2017-08-24 01:00:00",152483363.858,169490316.94,184736202.827
"2017-08-25 01:00:00",148335598.645,165758929.819,187458018.959
"2017-08-26 01:00:00",126127425.872,147357656.997,165527793.309
"2017-08-27 01:00:00",116261734.649,148665477.43,137373958.291
"2017-08-28 01:00:00",148954185.029,168112998.189,186748884.319
"2017-08-29 01:00:00",150469052.17,168219174.738,182267494.347
"2017-08-30 01:00:00",152155016.14,172717413.333,172634630.433
"2017-08-31 01:00:00",155077345.173,177815848.391,171908474.528
"2017-09-01 01:00:00",150003704.036,173836876.961,196332056.026
"2017-09-02 01:00:00",128433726.303,149911465.701,181303807.567
"2017-09-03 01:00:00",115401277.654,146376606.326,155034295.99
"2017-09-04 01:00:00",147094168.841,163125999.004,183363980.5
"2017-09-05 01:00:00",149971677.383,167228823.889,171254553.696
"2017-09-06 01:00:00",150953235.522,168210722.068,166055007.922
"2017-09-07 01:00:00",147959848.864,165882356.646,170882853.319
"2017-09-08 01:00:00",147866249.905,168749819.454,161469987.544
"2017-09-09 01:00:00",130893186.409,156107097.082,172584298.239
"2017-09-10 01:00:00",119350034.408,167539809.089,160803757.119
"2017-09-11 01:00:00",152066354.035,177757189.959,171800712.734
"2017-09-12 01:00:00",155057649.247,173811881.356,187957834.363
"2017-09-13 01:00:00",157257090.526,176491005.343,174657876.264
"2017-09-14 01:00:00",156962468.551,176179153.016,170351366.464
"2017-09-15 01:00:00",154770509.633,169810825.416,198192311.548
"2017-09-16 01:00:00",133435425.404,150317573.877,168838275.274
"2017-09-17 01:00:00",124205832.131,147594479.81,139546298.201
"2017-09-18 01:00:00",153694750.251,169277309.615,166172621.346
"2017-09-19 01:00:00",161583317.302,177110709.362,138003239.546
"2017-09-20 01:00:00",159674929.088,177024279.669,136663154.669
"2017-09-21 01:00:00",158766208.879,177294456,125867159.498
"2017-09-22 01:00:00",155263295.174,170963792.04,131991198.472
"2017-09-23 01:00:00",130787836.419,148373919.656,118293652.801
"2017-09-24 01:00:00",119257866.844,145426416.284,107443889.561
"2017-09-25 01:00:00",152654884.053,168815166.144,158795524.909
"2017-09-26 01:00:00",157420221.909,171166496.352,159904938.749
"2017-09-27 01:00:00",156439717.251,174776635.136,136400811.65
"2017-09-28 01:00:00",155194853.981,174169354.916,138445650.454
"2017-09-29 01:00:00",153199939.766,173237274.323,118996341.16
"2017-09-30 01:00:00",130702205.132,157810583.576,103601590.952
"2017-10-01 01:00:00",121254061.896,157581474.417,106037213.935
"2017-10-02 01:00:00",154507482.43,173288893.524,127657551.933
"2017-10-03 01:00:00",155846446.06,173501001.268,143016218.595
"2017-10-04 01:00:00",157122251.871,175158503.008,146156572.377
"2017-10-05 01:00:00",153732001.099,168180776.3,147621246.841
"2017-10-06 01:00:00",155986309.728,173216728.616,146380377.609
"2017-10-07 01:00:00",133280686.749,160866498.879,112883155.179
"2017-10-08 01:00:00",123792277.983,167211595.348,102766363.003
"2017-10-09 01:00:00",153729110.316,175974793.758,143968680.762
"2017-10-10 01:00:00",156033780.863,170246735.77,155387178.741
"2017-10-11 01:00:00",155132387.595,165796947.397,144437083.118
"2017-10-12 01:00:00",154662121.867,167545429.855,135143187.628
"2017-10-13 01:00:00",151582528.901,168219050.657,124878494.95
"2017-10-14 01:00:00",128983820.432,156085416.67,100397010.731
"2017-10-15 01:00:00",118794226.946,155557233.692,93307957.055
"2017-10-16 01:00:00",151574124.52,170328294.712,122882776.215
"2017-10-17 01:00:00",154075348.502,172279697.616,133173484.134
"2017-10-18 01:00:00",155550097.525,172221444.711,147278590.435
"2017-10-19 01:00:00",155355841.606,172104570.408,128813175.971
"2017-10-20 01:00:00",156379399.678,171495640.725,139869815.071
"2017-10-21 01:00:00",132590705.946,149207359.765,96420908.735
"2017-10-22 01:00:00",128610014.443,151449877.275,98654918.7
"2017-10-23 01:00:00",165917158.215,184899838.928,139034582.755
"2017-10-24 01:00:00",161883784.601,177577851.892,140749311.342
"2017-10-25 01:00:00",161085368.73,176335626.963,159197046.882
"2017-10-26 01:00:00",159909635.548,176124578.151,138857164.84
"2017-10-27 01:00:00",162315311.425,176303904.767,137960929.056
"2017-10-28 01:00:00",142300640.001,166894739.757,107345070.851
"2017-10-29 01:00:00",133890310.795,169818883.276,98870780.708
"2017-10-30 00:00:00",165388650.722,185543924.135,147596397.463
"2017-10-31 00:00:00",169899317.955,183568480.135,162120243.603
"2017-11-01 00:00:00",159078441.972,184607467.914,105399215.028
"2017-11-02 00:00:00",166870867.306,180738494.539,152052279.99
"2017-11-03 00:00:00",163389169.803,179709181.339,128939798.467
"2017-11-04 00:00:00",142437920.256,161464882.37,101224306.374
"2017-11-05 00:00:00",138119508.763,171171668.19,96061619.025
"2017-11-06 00:00:00",177797116.939,195103251.472,154057853.056
"2017-11-07 00:00:00",179400716.425,196640166.098,166661618.901
"2017-11-08 00:00:00",179664911.482,193167034.953,191477431.222
"2017-11-09 00:00:00",179194208.38,193830318.822,196082144.85
"2017-11-10 00:00:00",177096955.319,191258322.191,186639064.52
"2017-11-11 00:00:00",154434180.021,185176604.246,115212745.811
"2017-11-12 00:00:00",143813375.526,187443754.547,109664781.444
"2017-11-13 00:00:00",180775640.55,203052299.802,155581016.694
"2017-11-14 00:00:00",184509215.964,202835179.556,185236948.415
"2017-11-15 00:00:00",187090699.78,206501764.568,186067533.433
"2017-11-16 00:00:00",187831058.273,198915648.477,201985500.762
"2017-11-17 00:00:00",184798924.865,199256660.628,180568407.701
"2017-11-18 00:00:00",163132240.634,180077164.558,118877397.645
"2017-11-19 00:00:00",153285439.278,180543848.544,112559588.292
"2017-11-20 00:00:00",184562860.297,197236770.452,162644636.886
"2017-11-21 00:00:00",180674581.083,197611172.57,151293525.728
