;PW + Busse/Car;;;;;;;;;;LW;;;;;;;;;;Gesamtergebnis;;;;;;;;;
Datum;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL;UMF. BERN OST;SAN BERNARDINO;BASEL; CHIASSO;SIMPLON;GOTTHARDTUNNEL;COPPET;WUERENLOS;RENENS;AESCHERTUNNEL
2005.979167;68826.03176;5537.30503;NA;NA;1807.027792;13340.24356;64337.41556;NA;NA;NA;2718.951467;489.0556007;NA;NA;185.7962902;2790.530456;1804.02507;NA;NA;NA;71544.24882;6006.746221;71631.51975;NA;1992.824082;16130.77401;71635.63213;NA;NA;NA
2006;69558.91997;6045.079362;NA;28274.36489;2109.093074;13145.15648;61286.89331;NA;NA;NA;2517.893689;454.0040817;NA;2461.367155;182.001907;2685.71676;1585.445402;NA;NA;NA;72076.24863;6491.993026;70740.8881;33117.06262;2291.094981;15830.87324;71405.54497;NA;NA;NA
2006.020833;67986.78693;6347.052912;NA;28417.46104;2126.398124;14293.20781;64445.43813;NA;NA;NA;2254.070721;398.7880837;NA;2548.906851;163.8666455;2364.525305;1534.527119;NA;NA;NA;70240.15435;6738.416459;66472.39144;32974.73692;2290.264769;16657.73312;69980.32358;NA;NA;NA
2006.041667;67668.44676;6081.032429;NA;28707.02649;1950.094555;14003.85849;64782.25959;NA;NA;NA;2453.774145;444.8232331;NA;3370.564427;178.6553579;2566.07221;1871.485057;NA;NA;NA;70121.37934;6518.097008;67141.09274;33935.53092;2128.749913;16569.9307;69943.2064;NA;NA;NA
2006.0625;68726.11394;5154.46822;NA;23802.35742;1704.877095;12663.52425;64950.55129;NA;NA;NA;2621.537248;409.130466;NA;2854.105859;198.1442898;2280.944458;1919.201112;NA;NA;NA;71346.67132;5555.506768;69089.25554;28585.36628;1903.021385;14944.46871;69948.17759;NA;NA;NA
2006.083333;67884.52216;6078.285643;NA;29460.03116;2063.913556;13920.51112;66211.2003;NA;NA;NA;2564.881817;461.043587;NA;3485.756286;212.4852217;2737.410384;2000.782308;NA;NA;NA;70448.29219;6530.741958;66330.22428;34701.37215;2276.398778;16657.9215;70777.52074;NA;NA;NA
2006.104167;68308.51409;5805.539517;NA;30103.0408;1932.830821;13974.16476;67236.18234;NA;NA;NA;2486.716478;429.4771539;NA;3559.542729;200.2482075;2739.164989;2026.513696;NA;NA;NA;70793.98685;6225.934044;65976.9063;35201.05914;2133.079028;16713.32974;72011.74793;NA;NA;NA
2006.125;66868.76365;5397.205648;NA;29534.62782;1470.28563;13244.39357;66671.41374;NA;NA;NA;2483.837389;424.8136423;NA;3260.287231;178.8306501;2494.374811;1928.713283;NA;NA;NA;69351.22541;5812.441308;69113.95652;34232.01999;1649.116281;15738.76838;70718.30368;NA;NA;NA
2006.145833;67000.53789;5706.154429;NA;30343.75675;1807.64288;13730.45958;67389.51567;NA;NA;NA;2366.852874;390.9260532;NA;3159.389919;170.8867007;2396.179779;1886.246053;NA;NA;NA;69365.94706;6087.216154;67777.09405;34891.53596;1978.52958;16126.63936;70479.43273;NA;NA;NA
2006.166667;61554.90533;5495.171336;NA;29012.77834;1680.131547;12797.57153;65338.62043;NA;NA;NA;2421.171716;414.4120522;NA;3243.419575;176.7626827;2492.852742;1891.156618;NA;NA;NA;63974.56526;5899.433242;58006.28413;33354.17125;1856.894229;15290.42427;67337.48228;NA;NA;NA
2006.1875;66100.63203;5174.844499;NA;29549.65841;1613.515583;12821.87285;67231.81942;NA;NA;NA;2492.178665;422.1802514;NA;3394.974841;177.5880165;2568.164825;2087.222911;NA;NA;NA;68591.23082;5586.588786;62481.98838;33910.63894;1791.103599;15390.03767;67941.54825;NA;NA;NA
